#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2021-12-27&end=2022-05-28&country=all&events=off
#
date,country,users,lower,upper,frac
2021-12-27,,2582025,,,92
2021-12-28,,2487691,,,93
2021-12-29,,2496662,,,94
2021-12-30,,2475604,,,94
2021-12-31,,2352201,,,94
2022-01-01,,2404170,,,94
2022-01-02,,2458520,,,93
2022-01-03,,2595414,,,91
2022-01-04,,2755614,,,91
2022-01-05,,2844875,,,90
2022-01-06,,2609876,,,93
2022-01-07,,2453216,,,92
2022-01-08,,2401982,,,93
2022-01-09,,2337007,,,95
2022-01-10,,2351345,,,95
2022-01-11,,2392253,,,96
2022-01-12,,2477919,,,96
2022-01-13,,2492567,,,95
2022-01-14,,2427639,,,96
2022-01-15,,2363299,,,95
2022-01-16,,2412951,,,94
2022-01-17,,2503591,,,95
2022-01-18,,2399660,,,97
2022-01-19,,2468407,,,97
2022-01-20,,2478393,,,97
2022-01-22,,2081498,,,108
2022-01-23,,2310067,,,100
2022-01-24,,2490152,,,96
2022-01-25,,2410904,,,94
2022-01-26,,2497772,,,94
2022-01-27,,2652483,,,93
2022-01-28,,2607980,,,96
2022-01-29,,2342463,,,97
2022-01-30,,2104915,,,98
2022-01-31,,2271585,,,97
2022-02-01,,2373602,,,95
2022-02-02,,2376800,,,96
2022-02-03,,2331828,,,96
2022-02-04,,2306019,,,96
2022-02-05,,2242113,,,99
2022-02-06,,2403659,,,95
2022-02-07,,2670674,,,94
2022-02-08,,2565828,,,93
2022-02-09,,2456268,,,96
2022-02-10,,2454024,,,96
2022-02-11,,2447398,,,97
2022-02-12,,2373468,,,97
2022-02-13,,2469287,,,96
2022-02-14,,2528656,,,96
2022-02-15,,2386430,,,96
2022-02-16,,2504551,,,92
2022-02-17,,2428518,,,96
2022-02-18,,2425260,,,96
2022-02-19,,2419654,,,95
2022-02-20,,2309577,,,94
2022-02-21,,2455738,,,94
2022-02-22,,2526092,,,91
2022-02-23,,2555421,,,92
2022-02-24,,2617466,,,92
2022-02-25,,2596600,,,93
2022-02-26,,2596654,,,93
2022-02-27,,2582778,,,90
2022-02-28,,2549661,,,88
2022-03-01,,2224401,,,98
2022-03-02,,2443739,,,92
2022-03-03,,2387614,,,94
2022-03-04,,2422792,,,91
2022-03-05,,2353558,,,92
2022-03-06,,2295115,,,90
2022-03-07,,2466338,,,88
2022-03-08,,2433740,,,90
2022-03-09,,2421290,,,88
2022-03-10,,2463543,,,88
2022-03-11,,2414446,,,90
2022-03-12,,2292230,,,91
2022-03-13,,2159768,,,94
2022-03-14,,2441423,,,91
2022-03-15,,2473191,,,92
2022-03-16,,2461768,,,90
2022-03-17,,2477726,,,89
2022-03-18,,2330515,,,92
2022-03-19,,2239669,,,93
2022-03-20,,2243720,,,92
2022-03-21,,2379617,,,91
2022-03-22,,2358629,,,93
2022-03-23,,2287931,,,95
2022-03-24,,2304269,,,95
2022-03-25,,2301780,,,94
2022-03-26,,2170787,,,94
2022-03-27,,2192920,,,93
2022-03-28,,2349801,,,93
2022-03-29,,2354512,,,94
2022-03-30,,2351431,,,93
2022-03-31,,2313405,,,94
2022-04-01,,2262557,,,92
2022-04-02,,2181639,,,92
2022-04-03,,2179544,,,93
2022-04-04,,2350360,,,93
2022-04-05,,2388772,,,93
2022-04-06,,2356170,,,93
2022-04-07,,2323087,,,93
2022-04-08,,2309857,,,91
2022-04-09,,2235301,,,91
2022-04-10,,2173691,,,91
2022-04-11,,2332573,,,90
2022-04-12,,2365354,,,92
2022-04-13,,2346326,,,91
2022-04-14,,2353801,,,88
2022-04-15,,2335058,,,87
2022-04-16,,2245202,,,87
2022-04-17,,2146519,,,90
2022-04-18,,2300530,,,91
2022-04-19,,2423281,,,88
2022-04-20,,2440674,,,88
2022-04-21,,2432070,,,90
2022-04-22,,2372910,,,91
2022-04-23,,2361204,,,90
2022-04-24,,2415310,,,90
2022-04-25,,2460225,,,96
2022-04-26,,2709228,,,91
2022-04-27,,2602050,,,90
2022-04-28,,2470896,,,90
2022-04-29,,2356100,,,87
2022-04-30,,2257094,,,87
2022-05-01,,2188058,,,88
2022-05-02,,2228375,,,87
2022-05-03,,2350342,,,86
2022-05-04,,2585544,,,84
2022-05-05,,2661155,,,83
2022-05-06,,2522692,,,85
2022-05-07,,2389732,,,87
2022-05-08,,2591312,,,87
2022-05-09,,2882152,,,87
2022-05-10,,2554634,,,87
2022-05-11,,2373047,,,87
2022-05-12,,2361581,,,87
2022-05-13,,2249132,,,88
2022-05-14,,2181959,,,88
2022-05-15,,2235672,,,85
2022-05-16,,2353400,,,86
2022-05-17,,2601643,,,88
2022-05-18,,2745891,,,85
2022-05-19,,2768040,,,85
2022-05-20,,2807078,,,83
2022-05-21,,2979390,,,81
2022-05-22,,2868764,,,82
2022-05-23,,2740249,,,82
2022-05-24,,2745070,,,84
2022-05-25,,3204463,,,77
