#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2021-12-27&end=2022-05-28&country=ir&events=off
#
date,country,users,lower,upper,frac
2021-12-27,ir,11851,5306,20875,92
2021-12-28,ir,11904,6583,18249,93
2021-12-29,ir,11558,7095,16880,94
2021-12-30,ir,10859,7495,15051,94
2021-12-31,ir,10576,6605,16033,94
2022-01-01,ir,11834,6770,17700,94
2022-01-02,ir,12038,7515,16526,93
2022-01-03,ir,12281,6813,17409,91
2022-01-04,ir,12019,7825,17242,91
2022-01-05,ir,11756,8186,16725,90
2022-01-06,ir,10564,6953,15877,93
2022-01-07,ir,10673,5580,17975,92
2022-01-08,ir,12019,7261,18841,93
2022-01-09,ir,12125,7767,16940,95
2022-01-10,ir,11900,7824,16476,95
2022-01-11,ir,11904,8858,14271,96
2022-01-12,ir,11336,8071,13961,96
2022-01-13,ir,10873,6920,13649,95
2022-01-14,ir,10680,7087,13859,96
2022-01-15,ir,11862,8591,15117,95
2022-01-16,ir,12372,8828,15602,94
2022-01-17,ir,11866,8644,15551,95
2022-01-18,ir,11567,8552,15383,97
2022-01-19,ir,11405,8736,14179,97
2022-01-20,ir,10600,7539,14759,97
2022-01-22,ir,10365,7405,14062,108
2022-01-23,ir,11178,8348,15444,100
2022-01-24,ir,11687,8324,16200,96
2022-01-25,ir,11785,8561,16131,94
2022-01-26,ir,11331,8044,16055,94
2022-01-27,ir,10828,7512,15102,93
2022-01-28,ir,10414,,,96
2022-01-29,ir,11238,7747,16736,97
2022-01-30,ir,11194,7488,16243,98
2022-01-31,ir,11408,7480,16081,97
2022-02-01,ir,11887,6990,16738,95
2022-02-02,ir,11447,6487,16654,96
2022-02-03,ir,10511,6520,14615,96
2022-02-04,ir,10248,6465,14992,96
2022-02-05,ir,11323,7888,14497,99
2022-02-06,ir,11983,7666,16075,95
2022-02-07,ir,11892,6696,17870,94
2022-02-08,ir,12062,7833,17407,93
2022-02-09,ir,11566,8124,15766,96
2022-02-10,ir,10544,7907,14370,96
2022-02-11,ir,10259,7351,14315,97
2022-02-12,ir,11555,8277,15703,97
2022-02-13,ir,11770,9259,15376,96
2022-02-14,ir,11274,9121,15044,96
2022-02-15,ir,10403,8667,15630,96
2022-02-16,ir,11599,8095,15664,92
2022-02-17,ir,10366,7100,13810,96
2022-02-18,ir,10103,6779,13624,96
2022-02-19,ir,11388,8306,14878,95
2022-02-20,ir,11334,7958,15565,94
2022-02-21,ir,11678,6927,15724,94
2022-02-22,ir,12112,8389,13604,91
