#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2021-12-27&end=2022-05-28&country=ir&events=off
#
date,country,users,lower,upper,frac
2022-02-23,ir,11639,6830,17126,92
2022-02-24,ir,10488,7367,14577,92
2022-02-25,ir,10066,7751,13197,93
2022-02-26,ir,11750,8801,14901,93
2022-02-27,ir,11987,8020,15294,90
2022-02-28,ir,11240,7702,16336,88
2022-03-01,ir,9626,7593,14673,98
2022-03-02,ir,11283,8061,15208,92
2022-03-03,ir,10162,7442,13795,94
2022-03-04,ir,10001,7387,14011,91
2022-03-05,ir,11666,8192,16175,92
2022-03-06,ir,11959,6772,18260,90
2022-03-07,ir,11903,6234,17687,88
2022-03-08,ir,11430,5573,16325,90
2022-03-09,ir,11599,6806,16057,88
2022-03-10,ir,11024,7404,13376,88
2022-03-11,ir,11395,8007,12162,90
2022-03-12,ir,11403,8789,14434,91
2022-03-13,ir,10958,7295,15505,94
2022-03-14,ir,11080,8359,15440,91
2022-03-15,ir,10898,7947,15481,92
2022-03-16,ir,10719,7846,16450,90
2022-03-17,ir,9923,7930,14959,89
2022-03-18,ir,9083,8568,13987,92
2022-03-19,ir,9291,8203,14416,93
2022-03-20,ir,9003,7568,15611,92
2022-03-21,ir,9262,7090,14932,91
2022-03-22,ir,9200,6693,14529,93
2022-03-23,ir,8824,6970,13184,95
2022-03-24,ir,8411,6339,12254,95
2022-03-25,ir,8880,6646,11172,94
2022-03-26,ir,9612,6560,11677,94
2022-03-27,ir,10347,6219,11538,93
2022-03-28,ir,10278,6034,12503,93
2022-03-29,ir,9999,6455,12080,94
2022-03-30,ir,9299,6558,11861,93
2022-03-31,ir,8400,6469,10653,94
2022-04-01,ir,8471,6472,11429,92
2022-04-02,ir,8969,6412,13202,92
2022-04-03,ir,9922,7472,13342,93
2022-04-04,ir,10226,7223,13447,93
2022-04-05,ir,10857,7426,12921,93
2022-04-06,ir,11266,6770,12300,93
2022-04-07,ir,10267,6659,10205,93
2022-04-08,ir,9955,6362,10987,91
2022-04-09,ir,10311,6237,12225,91
2022-04-10,ir,10013,6515,13438,91
2022-04-11,ir,10108,6740,13808,90
2022-04-12,ir,10491,7649,14211,92
2022-04-13,ir,10341,7487,15159,91
2022-04-14,ir,9457,3589,16797,88
2022-04-15,ir,8995,3290,15705,87
2022-04-16,ir,10085,6443,13341,87
2022-04-17,ir,9899,6721,12638,90
2022-04-18,ir,10040,6346,13425,91
2022-04-19,ir,10306,7769,12879,88
2022-04-20,ir,10008,7468,13136,88
2022-04-21,ir,9239,5194,14305,90
2022-04-22,ir,8536,3796,15614,91
2022-04-23,ir,8956,6447,15213,90
2022-04-24,ir,9914,6961,14277,90
2022-04-25,ir,9671,6718,13758,96
2022-04-26,ir,10273,7572,13824,91
2022-04-27,ir,10186,7366,13736,90
2022-04-28,ir,9533,6831,12448,90
2022-04-29,ir,9521,5076,12699,87
2022-04-30,ir,10190,4646,13004,87
2022-05-01,ir,10463,3536,15991,88
2022-05-02,ir,9657,2226,17053,87
2022-05-03,ir,8524,1597,17828,86
2022-05-04,ir,8781,2975,16652,84
2022-05-05,ir,9324,5844,13626,83
2022-05-06,ir,9221,5704,13719,85
2022-05-07,ir,10142,5825,15263,87
2022-05-08,ir,10403,2994,19601,87
2022-05-09,ir,10535,791,20808,87
2022-05-10,ir,10605,2042,16234,87
2022-05-11,ir,10349,4898,12681,87
2022-05-12,ir,9656,5507,12571,87
2022-05-13,ir,9299,6268,11812,88
2022-05-14,ir,10338,8044,12449,88
2022-05-15,ir,10693,6348,14861,85
2022-05-16,ir,10456,6047,14930,86
2022-05-17,ir,10478,6482,15179,88
2022-05-18,ir,10667,7148,14414,85
2022-05-19,ir,10046,6632,13699,85
2022-05-20,ir,9853,7546,11699,83
2022-05-21,ir,11659,7375,15405,81
2022-05-22,ir,11504,7219,15591,82
2022-05-23,ir,10909,6955,15999,82
2022-05-24,ir,10561,7350,14282,85
2022-05-25,ir,10776,6962,15338,81
2022-05-26,ir,10123,6978,13637,80
