#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2020-12-27&end=2021-05-28&country=ua&events=off
#
date,country,users,lower,upper,frac
2021-03-28,ua,42897,31392,63901,84
2021-03-29,ua,44096,29554,65141,87
2021-03-30,ua,44375,27092,65567,88
2021-03-31,ua,46125,20701,72341,84
2021-04-01,ua,46917,18622,73632,82
2021-04-02,ua,47606,21762,66470,83
2021-04-03,ua,45006,22569,62436,83
2021-04-04,ua,43989,22644,62819,83
2021-04-05,ua,46784,28561,62828,83
2021-04-06,ua,48223,23466,74452,83
2021-04-07,ua,51727,25312,77692,82
2021-04-08,ua,51139,26240,77252,84
2021-04-09,ua,49846,29377,73815,84
2021-04-10,ua,50588,27218,68821,83
2021-04-11,ua,53429,26194,67117,83
2021-04-12,ua,53773,26965,73618,83
2021-04-13,ua,53976,31098,68375,83
2021-04-14,ua,50111,35427,68035,82
2021-04-15,ua,50129,36802,68472,83
2021-04-16,ua,50974,28681,75594,83
2021-04-17,ua,46322,29997,72354,83
2021-04-18,ua,45848,24630,81940,84
2021-04-19,ua,48071,29408,79242,85
2021-04-20,ua,47402,34256,71560,85
2021-04-21,ua,47766,34561,65770,84
2021-04-22,ua,46410,28273,72469,86
2021-04-23,ua,47045,28526,73734,88
2021-04-24,ua,44515,28265,63392,87
2021-04-25,ua,46333,29358,61767,86
2021-04-26,ua,48532,28394,64089,87
2021-04-27,ua,48741,28179,69551,86
2021-04-28,ua,45626,30405,64136,89
2021-04-29,ua,46262,30412,58359,90
2021-04-30,ua,45668,24040,66826,90
2021-05-01,ua,44472,26418,65411,85
2021-05-02,ua,42755,27879,63698,85
2021-05-03,ua,43435,29236,68245,84
2021-05-04,ua,47820,32299,68528,81
2021-05-05,ua,48737,33436,63448,85
2021-05-06,ua,45188,30729,66084,87
2021-05-07,ua,44885,27599,67407,87
2021-05-08,ua,44753,22871,65275,86
2021-05-09,ua,42477,24599,59526,84
2021-05-10,ua,41504,21809,59857,85
2021-05-11,ua,45877,25042,68243,83
2021-05-12,ua,45996,28427,66066,83
2021-05-13,ua,43954,26833,60840,85
2021-05-14,ua,42311,29830,56711,86
2021-05-15,ua,41231,25185,64065,86
2021-05-16,ua,41505,25459,62609,86
2021-05-17,ua,43686,25117,65810,86
2021-05-18,ua,44486,27992,66636,85
2021-05-19,ua,43100,28775,64568,83
2021-05-20,ua,43411,28116,63567,84
2021-05-21,ua,43112,25317,62321,84
2021-05-22,ua,42069,20452,66854,86
2021-05-23,ua,42512,24260,61872,87
2021-05-24,ua,46276,27190,62185,85
2021-05-25,ua,45477,32977,57218,85
2021-05-26,ua,44847,24555,65964,85
2021-05-27,ua,43536,27890,58905,86
2021-05-28,ua,42027,27108,56599,91
