#
# The Tor Project
#
# URL: https://metrics.torproject.org/userstats-relay-country.csv?start=2020-12-27&end=2021-05-28&country=ua&events=off
#
date,country,users,lower,upper,frac
2020-12-27,ua,49319,0,128893,87
2020-12-28,ua,50568,4686,112163,89
2020-12-29,ua,49571,13035,106511,89
2020-12-30,ua,48786,18146,98768,89
2020-12-31,ua,45661,185,116161,90
2021-01-01,ua,47101,0,113200,86
2021-01-02,ua,49285,24754,81519,83
2021-01-03,ua,49086,34961,65502,83
2021-01-04,ua,51005,32498,72507,84
2021-01-05,ua,54868,1710,109468,83
2021-01-07,ua,54391,5777,93754,84
2021-01-08,ua,54429,2285,101966,81
2021-01-09,ua,59843,0,92570,98
2021-01-11,ua,84060,0,199298,105
2021-01-12,ua,75252,0,206249,101
2021-01-13,ua,60202,,,83
2021-01-14,ua,54506,21235,93005,83
2021-01-15,ua,54537,18489,94786,81
2021-01-16,ua,53237,0,157283,82
2021-01-17,ua,57034,,,79
2021-01-18,ua,71425,0,302307,78
2021-01-19,ua,63720,0,223266,75
2021-01-21,ua,60517,0,119698,84
2021-01-22,ua,52659,28083,76965,84
2021-01-23,ua,49746,33288,69819,84
2021-01-24,ua,49204,30421,80963,85
2021-01-25,ua,51682,44500,95536,86
2021-01-26,ua,50635,12397,106599,88
2021-01-27,ua,52180,,,98
2021-01-28,ua,64989,0,247604,90
2021-01-29,ua,51188,33121,66446,90
2021-01-30,ua,49999,25037,66606,90
2021-01-31,ua,48728,26135,63934,90
2021-02-01,ua,51930,32243,69831,83
2021-02-02,ua,52103,31055,66567,81
2021-02-03,ua,55387,0,107433,80
2021-02-04,ua,57853,0,140299,80
2021-02-05,ua,57808,37816,68936,79
2021-02-06,ua,57860,35854,71631,80
2021-02-07,ua,51354,27992,73110,87
2021-02-08,ua,57087,33289,72367,84
2021-02-09,ua,58785,39252,72991,76
2021-02-10,ua,56762,37030,74771,77
2021-02-11,ua,56469,30033,80377,84
2021-02-12,ua,56086,17236,95267,84
2021-02-13,ua,52290,30433,81926,84
2021-02-14,ua,52134,24143,82569,85
2021-02-15,ua,53254,28657,82840,86
2021-02-16,ua,54470,36939,76354,81
2021-02-17,ua,54944,38442,72346,83
2021-02-18,ua,58115,43030,76368,82
2021-02-19,ua,57413,41318,74739,83
2021-02-20,ua,52835,36553,69022,82
2021-02-21,ua,53471,34835,70478,81
2021-02-22,ua,54743,40076,69903,85
2021-02-23,ua,54070,39076,68773,89
2021-02-24,ua,53473,38576,67003,93
2021-02-25,ua,55480,31843,78099,93
2021-02-26,ua,53878,41727,64881,93
2021-02-27,ua,50203,34756,64727,93
2021-02-28,ua,49626,29285,69931,94
2021-03-01,ua,56696,37820,70955,89
2021-03-02,ua,56287,38899,72747,84
2021-03-03,ua,54957,39078,69257,90
2021-03-04,ua,54648,36297,75202,89
2021-03-05,ua,54246,39444,71744,87
2021-03-06,ua,51248,32749,74957,87
2021-03-07,ua,50913,31881,73479,87
2021-03-08,ua,52060,34006,81533,85
2021-03-09,ua,56644,41010,75458,83
2021-03-10,ua,56298,40573,74461,86
2021-03-11,ua,56263,44549,68748,85
2021-03-12,ua,58036,38324,73638,86
2021-03-13,ua,54195,37837,64531,86
2021-03-14,ua,53263,35977,66689,86
2021-03-15,ua,57126,33304,73803,87
2021-03-16,ua,56257,37486,73904,82
2021-03-17,ua,56561,37179,74770,81
2021-03-18,ua,53753,35764,73355,85
2021-03-19,ua,51621,32903,82124,85
2021-03-20,ua,50598,31821,76099,85
2021-03-21,ua,49319,27916,77763,83
2021-03-22,ua,52151,26811,86310,81
2021-03-23,ua,53691,28038,87317,82
2021-03-24,ua,52455,32301,82511,82
2021-03-25,ua,51128,34684,75313,80
2021-03-26,ua,49072,34841,67566,81
2021-03-27,ua,43507,35619,61134,87
