#
# The Tor Project
#
# URL: https://metrics.torproject.org/webstats-tb-locale.csv?start=2020-12-27&end=2021-05-28
#
date,locale,initial_downloads,update_pings
2020-12-27,ar,112,2128
2020-12-27,de,3704,215537
2020-12-27,en-US,60508,1727548
2020-12-27,es-ES,2779,49158
2020-12-27,fa,63,1171
2020-12-27,fr,2119,58260
2020-12-27,it,1148,30927
2020-12-27,ko,97,2399
2020-12-27,nl,108,4338
2020-12-27,pl,182,8089
2020-12-27,pt-PT,0,16
2020-12-27,ru,7371,408374
2020-12-27,tr,189,13062
2020-12-27,vi,58,179
2020-12-27,zh-CN,991,8628
2020-12-27,??,33,975
2020-12-27,ja,149,13993
2020-12-27,pt-BR,1277,16588
2020-12-27,th,68,31
2020-12-27,da,70,500
2020-12-27,he,60,168
2020-12-27,sv-SE,82,838
2020-12-27,zh-TW,397,57941
2020-12-27,ca,94,872
2020-12-27,ga-IE,48,1
2020-12-27,id,69,395
2020-12-27,is,57,52
2020-12-27,nb-NO,82,169
2020-12-27,cs,93,1447
2020-12-27,el,55,330
2020-12-27,hu,64,957
2020-12-27,ka,59,3
2020-12-27,es-AR,103,645
2020-12-27,ro,69,123
2020-12-27,mk,58,26
2020-12-27,lt,54,25
2020-12-27,ms,55,23
2020-12-28,ar,100,2346
2020-12-28,de,3495,222611
2020-12-28,en-US,61492,1826198
2020-12-28,es-ES,2926,54390
2020-12-28,fa,51,1324
2020-12-28,fr,2124,61956
2020-12-28,it,1096,32448
2020-12-28,ko,85,2305
2020-12-28,nl,107,4571
2020-12-28,pl,160,8455
2020-12-28,pt-PT,0,9
2020-12-28,ru,7153,415102
2020-12-28,tr,129,12389
2020-12-28,vi,49,234
2020-12-28,zh-CN,1121,9222
2020-12-28,??,7,820
2020-12-28,ja,157,10957
2020-12-28,en-us,0,1
2020-12-28,pt-BR,1215,17259
2020-12-28,th,48,35
2020-12-28,da,76,451
2020-12-28,he,45,145
2020-12-28,sv-SE,70,903
2020-12-28,zh-TW,421,59185
2020-12-28,ca,67,822
2020-12-28,ga-IE,41,5
2020-12-28,id,54,421
2020-12-28,is,43,76
2020-12-28,nb-NO,46,179
2020-12-28,cs,64,1463
2020-12-28,el,51,313
2020-12-28,hu,45,800
2020-12-28,ka,39,12
2020-12-28,es-AR,78,771
2020-12-28,ro,52,153
2020-12-28,mk,51,46
2020-12-28,lt,46,38
2020-12-28,ms,47,24
2020-12-29,ar,106,2371
2020-12-29,de,3465,219993
2020-12-29,en-US,61276,1833846
2020-12-29,es-ES,2716,55142
2020-12-29,fa,45,1297
2020-12-29,fr,1959,60657
2020-12-29,it,1040,31953
2020-12-29,ko,74,2282
2020-12-29,nl,94,4449
2020-12-29,pl,154,8032
2020-12-29,pt-PT,0,12
2020-12-29,ru,7009,413015
2020-12-29,tr,169,12784
