year,month,users_bridge_ukr,users_relay_ukr,users_br_perc_ukr,users_bridge_rus,users_relay_rus,users_br_perc_rus,users_bridge,users_relay,users_br_perc,users_bridge_ir,users_relay_ir,users_br_perc_ir
2020,12,658.2,48781.0,1.3320809853723912,8756.0,334998.4,2.5500902631107434,39063.6,2258647.6,1.700987678640739,5269.6,33709.4,13.616369318073803
2021,1,660.9642857142857,56268.142857142855,1.187336555272448,8669.714285714286,347128.85714285716,2.4472787132451153,39715.07142857143,2355043.4285714286,1.6907351687685146,4007.464285714286,35793.71428571428,10.102565372576782
2021,2,672.8928571428571,54638.67857142857,1.2188561493106085,9462.07142857143,334450.03571428574,2.7645072262404207,43299.42857142857,2188063.5714285714,1.9453883187413787,3521.035714285714,35124.5,9.125580742714444
2021,3,723.1290322580645,52273.74193548387,1.370170662913423,9691.838709677419,322587.1612903226,2.921679437196971,45360.096774193546,2124131.580645161,2.0936388195520554,3098.1612903225805,29471.58064516129,9.493082345943579
2021,4,724.2,48291.933333333334,1.4811339585884131,10243.833333333334,316854.86666666664,3.1361874349742025,45903.5,2150186.7,2.098219385260134,3338.1,31037.733333333334,9.745174330809805
2021,5,660.1428571428571,43979.96428571428,1.4793989307119808,9961.964285714286,300017.89285714284,3.2193719535587175,46025.46428571428,2092963.8214285714,2.153397438043691,3275.035714285714,30122.14285714286,9.845900584556006
2021,12,661.0,40550.8,1.6054141578477394,36786.8,186284.8,16.49536374401174,79490.2,2478836.6,3.1094911557006446,3085.8,11349.6,21.3734178174382
2022,1,696.0666666666667,39303.8,1.7445925238454836,35032.23333333333,172932.16666666666,16.81298784319181,76047.03333333334,2446617.2333333334,3.0223630124167844,2940.633333333333,11436.733333333334,20.368547982256924
2022,2,765.6071428571429,57138.0,1.473052165227708,32229.678571428572,151608.14285714287,17.815096417770285,70880.82142857143,2462643.714285714,2.7954260467701393,2367.714285714286,11231.214285714286,17.424472551374905
2022,3,914.7096774193549,56912.22580645161,1.6615159562491546,43160.096774193546,131300.38709677418,24.77613408079998,83322.67741935483,2348763.4838709678,3.433512454175449,1974.1935483870968,10223.161290322581,16.20456979684948
2022,4,837.1,38827.9,2.112526017378185,36552.2,100936.9,26.538204571580653,73075.86666666667,2349579.433333333,3.02570134277662,1988.7,9866.866666666667,16.777130009271385
2022,5,977.28,37121.0,2.5696078055375784,34469.64,100884.04,25.50614539433565,69986.56,2566775.0,2.6788956991551527,2127.52,10195.96,17.22497985187215
